#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 14:18:15       0    299     87      -     94     35      0      0      0      0  13365   1942  76996      8      0 
 14:18:17       0    299     86      -     94     35      0      0      0      0  13365   1942  76996      8      0 
 14:18:19       0    268     87      -     94     40      0      0      0      0  13365   2287  76996      8      0 
 14:18:21       0    299     87      -     94     35      0      0      0      0  13365   2010  76996      8      0 
 14:18:23       0    299     87      -     94     35      0      0      0      0  13365   1972  76996      8      0 
 14:18:25       0    299     86      -     93     37      0      0      0      0  13365   1965  76996      8      0 
 14:18:27       0    300     86      -     91     47      0      0      0      0  13365   1912  76996      8      0 
 14:18:29       0    299     87      -     94     35      0      0      0      0  13365   2010  76996      8      0 
 14:18:31       0    300     86      -     91     46      0      0      0      0  13365   1912  76996      8      0 
 14:18:33       0    299     86      -     93     36      0      0      0      0  13365   1942  76996      8      0 
 14:18:35       0    292     86      -     92     39      0      0      0      0  13365   2062  76996      8      0 
 14:18:37       0    299     86      -     94     35      0      0      0      0  13365   1935  76996      8      0 
 14:18:39       0    300     86      -     91     47      0      0      0      0  13365   1920  76996      8      0 
 14:18:41       0    300     86      -     94     35      0      0      0      0  13365   2010  76996      8      0 
 14:18:43       0    300     86      -     94     35      0      0      0      0  13365   2017  76996      8      0 
 14:18:45       0    299     86      -     94     35      0      0      0      0  13365   2017  76996      8      0 
 14:18:47       0    299     86      -     94     35      0      0      0      0  13365   2010  76996      8      0 
 14:18:49       0    300     86      -     91     39      0      0      0      0  13365   1927  76996      8      0 
 14:18:51       0    299     86      -     93     36      0      0      0      0  13365   2025  76996      8      0 
 14:18:53       0    300     86      -     93     36      0      0      0      0  13365   2032  76996      8      0 
 14:18:55       0    299     86      -     94     35      0      0      0      0  13365   2025  76996      8      0 
 14:18:57       0    299     86      -     94     36      0      0      0      0  13365   2025  76996      8      0 
 14:18:59       0    299     86      -     91     39      0      0      0      0  13365   2070  76996      8      0 
 14:19:02       0    300     86      -     91     43      0      0      0      0  13365   2047  76996      8      0 
 14:19:04       0    299     86      -     93     37      0      0      0      0  13365   1972  76996      8      0 
 14:19:06       0    262     82      -      0      0      0      0      0      0  13365   2100  76996      8      0 
 14:19:08       0    300     86      -     93     43      0      0      0      0  13365   2010  76996      8      0 
 14:19:10       0    299     86      -     95     43      0      0      0      0  13365   2017  76996      8      0 
 14:19:12       0    299     86      -     95     39      0      0      0      0  13365   2025  76996      8      0 
 14:19:14       0    300     86      -     94     35      0      0      0      0  13365   2032  76996      8      0 
 14:19:16       0    299     86      -     94     35      0      0      0      0  13365   2017  76996      8      0 
 14:19:18       0    299     86      -     93     36      0      0      0      0  13365   2032  76996      8      0 
 14:19:20       0    300     86      -     94     35      0      0      0      0  13365   2040  76996      8      0 
 14:19:22       0    309     86      -     91     47      0      0      0      0  13365   1957  76996      8      0 
 14:19:24       0    300     85      -     84     32      0      0      0      0  13365   1912  76996      8      0 
 14:19:26       0    296     84      -     93     36      0      0      0      0  13365   2032  76996      8      0 
 14:19:28       0    299     86      -     94     35      0      0      0      0  13365   2025  76996      8      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 14:19:30       0    299     86      -     93     36      0      0      0      0  13365   2025  76996      8      0 
 14:19:32       0    299     86      -     94     36      0      0      0      0  13365   2025  76996      8      0 
 14:19:34       0    301     85      -     91     47      0      0      0      0  13365   2025  76996      8      0 
 14:19:36       0    267     85      -     90     44      0      0      0      0  13365   2265  76996      8      0 
